"Collector","Class","Order","Family","Species_COL","Species_rep","Subspecies_rep","Year","X","Y","Xmin","Xmax","Ymin","Ymax","Site","Country","Sampling_area","Sampling_area_unit","Density","Density_unit","SE","SD","CI90","CI95","CV","Method","Method2","Notes_method","Season","Native","Notes","Ref_N"
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia semitorquata","Streptopelia semitorquata",NA,"2003",6.09,10.3,NA,NA,NA,NA,"My Ogade (Bamenda Highlands)","Nigeria",1,"km2","1","ind/km2",NA,NA,NA,NA,NA,"Counts","Direct",NA,"November – December",TRUE,NA,446
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Streptopelia senegalensis",NA,"2017",15,-17.517,NA,NA,NA,NA,"Outapi","Namibia",0.13,"km2","10","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"July – October",TRUE,NA,360
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Streptopelia senegalensis",NA,"2018",15.766,-17.766,NA,NA,NA,NA,"Ongwediva town","Namibia",1,"km2","84","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"August – December",TRUE,NA,383
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Streptopelia senegalensis",NA,"2012",15.31,-17.66,NA,NA,NA,NA,"Ogongo Game Reserve","Namibia",10,"km2","2.4","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"May – December",TRUE,NA,296
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Streptopelia senegalensis",NA,"2013–2014",24.28,-17.487,NA,NA,NA,NA,"Katima Mulilo (Zambezi region)","Namibia",0.54,"km2","48.1","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"September – March",TRUE,NA,297
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Streptopelia senegalensis",NA,"2015–2016",24.28,-17.487,NA,NA,NA,NA,"Katima Mulilo (Zambezi region)","Namibia",0.54,"km2","48.1","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"July – February",TRUE,NA,297
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"2017–2018",22,-31.25,17,27,-33.5,-29,"Karoo region","South Africa",NA,NA,"1.48","ind/km2","0.46",NA,NA,"0.81–2.72",NA,"Distance_Sampling","Point counts",NA,NA,TRUE,NA,357
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"108","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"43.2","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"30.8","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"46.3","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"48.9","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"9.72","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia senegalensis","Spilopelia senegalensis",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"34.2","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1983",12.4,41.683,NA,NA,NA,NA,"Castel Porziano","Italy",NA,NA,"6","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,467
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,NA,4.7,43.6,NA,NA,NA,NA,"Provence","France",NA,NA,"12","pairs/km2",NA,NA,NA,NA,NA,"Census",NA,NA,"Breeding season",TRUE,NA,307
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",13.347,42.186,NA,NA,NA,NA,"Montagne della Duchessa Regional Natural Reserve","Italy",0.0314,"km2","1.43","ind/km2",NA,"6.78",NA,NA,NA,"Counts","Direct","100m radius / 10min","March – July",TRUE,NA,319
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2005",-14.07,28.27,NA,NA,NA,NA,"Tuineje (Fuerteventura Island)","Spain",NA,NA,"1.02","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,"Breeding season",TRUE,NA,334
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2005",-13.96,28.5,NA,NA,NA,NA,"Tefía-Ampuyenta (Fuerteventura Island)","Spain",NA,NA,"0.24","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,"Breeding season",TRUE,NA,334
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2005",-13.98,28.41,NA,NA,NA,NA,"Triquivijate (Fuerteventura Island)","Spain",NA,NA,"0.57","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,"Breeding season",TRUE,NA,334
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2007",-17.85,28.69,NA,NA,NA,NA,"La Palma (Canary Islands)","Spain",NA,NA,"2.51","ind/km2",NA,NA,"1.49-3.55",NA,NA,"Distance_Sampling","Line transects",NA,"April – May",TRUE,"Transects throughout the island, coordinates refer to the centre of the island",316
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"1.3","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"3.2","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"12.8","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"4.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"8.1","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"6.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"2.7","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"5.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"5.3","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"5.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"4.5","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"10.8","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"2.8","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"10","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"3.1","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"5.6","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"3.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"7.6","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2016",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"7.4","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2015",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"3.1","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"2014",25.976,41.956,NA,NA,NA,NA,NA,"Bulgaria",NA,NA,"4.1","pairs/km2",NA,NA,NA,NA,NA,"Counts",NA,NA,"May – August",TRUE,NA,466
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,NA,22,51,NA,NA,NA,NA,"Birds in a town park in Pulawach","Poland",0.07,"km2","71.4285714286","ind/km2",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,381
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1973",-1.7,51,NA,NA,NA,NA,"Porton down (Wilshire)","United Kingdom",NA,NA,"14","pairs/km2",NA,NA,NA,NA,NA,"Counts","Direct",NA,"Summer",TRUE,NA,424
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,NA,23,51,NA,NA,NA,NA,"Kozie Góry reserve (Lublin)","Poland",0.05,"km2","10","ind/km2",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,335
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,NA,-1,51,NA,NA,NA,NA,"Brinsbury Estate in Sussex","United Kingdom",2.27,"km2","4.4052863436","ind/km2",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,317
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1977–1978",9,52,NA,NA,NA,NA,"Moorland","Germany",0.55,"km2","2.727","ind/km2",NA,NA,NA,NA,NA,NA,NA,NA,"Summer",TRUE,NA,304
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1992",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","3.03","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,310
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1991",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.255,"km2","3.922","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,310
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1990",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","3.03","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,310
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1978",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","3.03","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1976",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","6.061","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1976",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.255,"km2","3.922","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1978",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.261,"km2","7.663","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1975",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.255,"km2","5.882","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1979",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.261,"km2","1.916","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1977",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","1.515","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1978",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.25,"km2","2","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1978",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.255,"km2","3.922","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1977",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.261,"km2","3.831","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1979",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.24,"km2","2.083","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1975",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","3.03","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1979",23.7,52.7,NA,NA,NA,NA,"Białowieża National Park","Poland",0.33,"km2","4.545","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,312
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1970",-2.26,50.9,NA,NA,NA,NA,"East Farm, Hammoon (Dorset)","United Kingdom",1.34,"km2","0.746","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – June",TRUE,NA,311
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1968",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","20.833","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1974",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","33.333","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1969",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","12.5","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1973",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","12.5","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1971",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","20.833","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1970",-0.8,51.7,NA,NA,NA,NA,"Ivinghoe Beacon and Steps Hill","United Kingdom",0.24,"km2","20.833","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"April – July",TRUE,NA,452
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1981",-7,38,NA,NA,NA,NA,"Sierra Nevada","Spain",NA,NA,"15","ind/km2",NA,NA,NA,NA,NA,"Counts","Direct","Strip transect (25 m width)","May",TRUE,NA,308
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1981",-7,38,NA,NA,NA,NA,"Sierra Nevada","Spain",NA,NA,"15","ind/km2",NA,NA,NA,NA,NA,"Counts","Direct","Strip transect (25 m width)","June",TRUE,NA,308
"Luca Santini","Aves","Columbiformes","Columbidae","Streptopelia turtur","Streptopelia turtur",NA,"1981",-7,38,NA,NA,NA,NA,"Sierra Nevada","Spain",NA,NA,"7","ind/km2",NA,NA,NA,NA,NA,"Counts","Direct","Strip transect (25 m width)","July",TRUE,NA,308
"Luca Santini","Aves","Columbiformes","Columbidae","Treron australis","Treron australis",NA,"1994",47.1,-16.2,NA,NA,NA,NA,"Ampijoroa Forest Reserve","Madagascar",0.2475,"km2","2","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"October",TRUE,NA,413
"Luca Santini","Aves","Columbiformes","Columbidae","Treron calvus","Treron calvus",NA,"2015–2016",24.28,-17.487,NA,NA,NA,NA,"Katima Mulilo (Zambezi region)","Namibia",0.54,"km2","1.9","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"July – February",TRUE,NA,297
"Luca Santini","Aves","Columbiformes","Columbidae","Treron calvus","Treron calvus",NA,"2013–2014",24.28,-17.487,NA,NA,NA,NA,"Katima Mulilo (Zambezi region)","Namibia",0.54,"km2","3.7","pairs/km2",NA,NA,NA,NA,NA,"Census","Territory mapping",NA,"September – March",TRUE,NA,297
"Luca Santini","Aves","Columbiformes","Columbidae","Treron curvirostra","Treron curvirostra",NA,"2011",103.3775,-2.1553,NA,NA,NA,NA,"Harapan Rainforest Concession (Sumatra Island)","Indonesia",NA,NA,"7.7","ind/km2",NA,NA,NA,"7.4–8.1",NA,"Distance_Sampling","Point counts",NA,"April – June",TRUE,NA,468
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Emberiza fucata",NA,"1976–1983",143.183,42.866,NA,NA,NA,NA,"Obihiro","Japan",0.25,"km2","11.6","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","August",TRUE,NA,306
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Emberiza fucata",NA,"1976–1983",143.183,42.866,NA,NA,NA,NA,"Obihiro","Japan",0.25,"km2","12","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","June",TRUE,NA,306
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Emberiza fucata",NA,"1976–1983",143.183,42.866,NA,NA,NA,NA,"Obihiro","Japan",0.25,"km2","11.6","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","September",TRUE,NA,306
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Emberiza fucata",NA,"1976–1983",143.183,42.866,NA,NA,NA,NA,"Obihiro","Japan",0.25,"km2","15.6","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","July",TRUE,NA,306
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Emberiza fucata",NA,"1976–1983",143.183,42.866,NA,NA,NA,NA,"Obihiro","Japan",0.25,"km2","10","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","May",TRUE,NA,306
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Sphenurus sieboldii",NA,"1976–1979",143.8,43.1,NA,NA,NA,NA,"Shintoku-Yama","Japan",0.25,"km2","5.6","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","June",TRUE,NA,305
"Luca Santini","Aves","Columbiformes","Columbidae","Treron sieboldii","Sphenurus sieboldii",NA,"1976–1979",143.8,43.1,NA,NA,NA,NA,"Shintoku-Yama","Japan",0.25,"km2","3.2","ind/km2",NA,NA,NA,NA,NA,"Counts",NA,"Line transect (10km and 25m width)","August",TRUE,NA,305
"Luca Santini","Aves","Columbiformes","Columbidae","Treron teysmannii","Treron teysmannii",NA,"1992",120,-9.7,NA,NA,NA,NA,"Sumba Island","Indonesia",NA,NA,"8.1","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,411
"Luca Santini","Aves","Columbiformes","Columbidae","Treron teysmannii","Treron teysmannii",NA,"1992",120,-9.7,NA,NA,NA,NA,"Sumba Island","Indonesia",NA,NA,"1.6","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,411
"Luca Santini","Aves","Columbiformes","Columbidae","Treron vernans","Treron vernans",NA,"2016–2018",101.69638889,2.96194444,NA,NA,NA,NA,"Putrajaya wetland","Malaysia",NA,NA,"123","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling","Point counts",NA,"November 2016 – July 2018",TRUE,NA,350
"Luca Santini","Aves","Columbiformes","Columbidae","Treron vernans","Treron vernans",NA,"2012",103.77,1.29,NA,NA,NA,NA,"Kent Ridge campus of the National University of Singapore","Singapore",NA,NA,"7.989","ind/km2",NA,NA,NA,NA,NA,NA,NA,NA,"January – March",TRUE,NA,449
"Luca Santini","Aves","Columbiformes","Columbidae","Treron waalia","Treron waalia",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"3.01","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Treron waalia","Treron waalia",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"7.21","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Treron waalia","Treron waalia",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"20.2","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
"Luca Santini","Aves","Columbiformes","Columbidae","Treron waalia","Treron waalia",NA,"1999–2008",54,12.5,NA,NA,NA,NA,"Socotra Island","Republic of Yemen",NA,NA,"5.13","ind/km2",NA,NA,NA,NA,NA,"Distance_Sampling",NA,NA,NA,TRUE,NA,465
